"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Abditibacterium",1.44983494773727e-05,2.35246707313206e-05,3.3085194375517e-06,4.65445819520798e-06,4.61487213867439e-06,3.54084452682809e-06,8.51983378578814e-06,9.58801498127341e-06,1.05950515532903e-05,1.22121775586901e-05,1.33438915286495e-05,8.10819905142179e-06,1.21499055344845e-05,2.50677015950829e-07,0,9.84156918899934e-06,0,1.36411504400635e-05,7.71068847519918e-06,3.48578410099014e-07,4.28813708316627e-06,2.23079840274834e-06,2.36379268435055e-06,5.68845039785022e-07,0,0,0,0,0,0
"g_Abiotrophia",3.81535512562438e-06,4.60265296917143e-05,3.3085194375517e-06,5.37848502557366e-05,5.03440596946297e-05,8.88751976233852e-05,1.16179551624384e-06,4.39450686641698e-06,8.36451438417657e-06,1.59289272504654e-06,4.19379448043271e-06,4.86491943085308e-06,0,1.7547391116558e-06,0,0,0,5.45646017602541e-06,2.84077996454707e-06,3.48578410099014e-07,0,1.78463872219867e-06,1.83850542116154e-06,1.13769007957004e-06,0,0,0,8.67830311403551e-07,6.62240691379282e-07,1.84101881981489e-06
"g_Absicoccus",4.57842615074926e-06,2.04562354185397e-06,1.98511166253102e-06,3.62013415182843e-06,0.000122084344759477,2.44318272351138e-05,4.25991689289407e-06,3.99500624219725e-07,3.34580575367063e-06,5.84060665850398e-06,4.57504852410841e-06,2.02704976285545e-06,0,2.55690556269846e-05,1.67969073017448e-05,0,0,0,4.05825709221009e-07,3.13720569089112e-06,2.14406854158314e-06,2.23079840274834e-07,3.93965447391758e-07,1.08080557559154e-05,0,2.92606635001752e-06,1.02353202478176e-06,8.67830311403551e-07,0,0
"g_Absiella",3.81535512562438e-06,1.63649883348318e-05,6.61703887510339e-07,2.58581010844888e-06,6.29300746182871e-06,4.95718233755933e-06,1.9363258604064e-06,4.7940074906367e-06,2.23053716911375e-06,9.55735635027923e-06,6.10006469881121e-06,2.43245971542654e-06,6.74994751915804e-07,1.70460370846564e-05,6.46034896220954e-06,0,0,0,5.55981221632783e-05,1.74289205049507e-05,9.07655682603528e-05,5.04160439021126e-05,4.95083245555643e-05,7.05367849333427e-05,0,1.24357819875745e-05,1.02353202478176e-05,3.03740608991243e-05,6.62240691379282e-07,9.20509409907443e-07
"g_Abyssalbus",6.10456820099901e-06,6.13687062556191e-06,6.61703887510339e-07,1.03432404337955e-06,1.25860149236574e-06,7.08168905365619e-07,2.74958272177708e-05,5.11360799001248e-05,1.95172002297453e-05,3.07959260175664e-05,3.66003881928673e-05,5.39195236919549e-05,0,1.00270806380332e-06,0,0,0,0,0,0,7.14689513861046e-07,0,0,1.13769007957004e-06,2.35489658965395e-05,8.77819905005256e-06,0.000214941725204169,8.67830311403551e-07,8.87402526448238e-05,0
"g_Abyssibacter",1.98398466532468e-05,1.22737412511238e-05,1.32340777502068e-06,4.65445819520798e-06,1.09078796005031e-05,8.49802686438742e-06,1.51033417111699e-05,1.23845193508115e-05,7.24924579961969e-06,7.96446362523269e-06,1.44876536596766e-05,1.17568886245616e-05,0,0,0,3.07549037156229e-06,0,0,7.71068847519918e-06,3.48578410099014e-07,0,0,3.93965447391758e-07,0,7.59644061178694e-07,7.3151658750438e-07,0,0,0,0
"g_Abyssicoccus",5.34149717587414e-06,0,6.61703887510339e-07,8.79175436872618e-06,3.77580447709723e-06,9.20619576975304e-06,1.54906068832512e-06,1.5980024968789e-06,3.34580575367063e-06,2.12385696672872e-06,1.5250161747028e-06,2.83786966799763e-06,0,7.52031047852488e-07,0,0,0,0,4.05825709221009e-07,1.04573523029704e-06,1.42937902772209e-06,3.56927744439735e-06,2.62643631594506e-06,8.53267559677533e-06,0,0,0,0,6.62240691379282e-07,0
"g_Abyssisolibacter",3.05228410049951e-06,8.18249416741588e-06,6.61703887510339e-07,4.1372961735182e-06,2.93673681552007e-06,2.83267562146247e-06,3.87265172081279e-06,7.59051186017478e-06,7.80688009189813e-06,1.38050702837367e-05,1.33438915286495e-05,4.45950947828199e-06,7.42494227107384e-06,0.000171212401894416,4.39303729430249e-05,1.72227460807488e-05,2.88641939673835e-05,2.45540707921143e-05,5.11340393618472e-05,3.62521546502974e-05,3.64491652069133e-05,6.7370111763e-05,5.975142618775e-05,0.000143348950025826,3.79822030589347e-06,1.02412322250613e-05,0,2.60349093421065e-06,4.63568483965497e-06,9.20509409907443e-07
"g_Acanthopleuribacter",1.2209136401998e-05,3.06843531278095e-06,0,1.55148606506933e-06,9.64927810813736e-06,2.12450671609686e-06,1.27797506786822e-05,3.03620474406991e-05,2.34206402756944e-05,2.44243551173803e-05,2.89753073193533e-05,1.62163981028436e-05,2.49748058208847e-05,2.25609314355746e-06,2.58413958488382e-06,6.15098074312459e-06,0,0,4.05825709221009e-07,0,1.42937902772209e-06,1.11539920137417e-06,2.62643631594506e-07,3.41307023871013e-06,0,0,2.04706404956351e-06,0,6.62240691379282e-07,1.84101881981489e-06
"g_Acaricomes",1.52614205024975e-06,0,6.61703887510339e-07,4.1372961735182e-06,1.25860149236574e-06,2.12450671609686e-06,4.18246385847782e-05,4.39450686641698e-05,5.68786978124007e-05,4.35390678179387e-05,4.42254690663813e-05,4.37842748776777e-05,0,5.01354031901658e-07,0,7.99627496606196e-06,0,0,1.21747712766303e-06,0,0,0,0,0,7.59644061178694e-07,0,1.02353202478176e-06,0,6.62240691379282e-07,9.20509409907443e-07
"g_Acaryochloris",3.51012671557443e-05,1.63649883348318e-05,1.32340777502068e-06,2.58581010844888e-05,2.93673681552007e-05,1.94746448975545e-05,4.06628430685343e-05,4.39450686641698e-05,4.40531090899966e-05,4.7255817509714e-05,5.18505499398953e-05,3.77031255891113e-05,7.42494227107384e-06,3.50947822331161e-06,1.29206979244191e-06,3.44454921614977e-05,0,1.36411504400635e-05,4.05825709221009e-07,0,0,4.46159680549669e-07,2.2324708685533e-06,2.27538015914009e-06,1.51928812235739e-06,3.6575829375219e-06,0,0,6.62240691379282e-07,9.20509409907443e-07
"g_Acerihabitans",7.63071025124877e-07,4.09124708370794e-06,0,2.58581010844888e-06,1.25860149236574e-06,3.54084452682809e-07,1.54906068832512e-06,1.19850187265918e-06,1.11526858455688e-06,1.59289272504654e-06,1.9062702183785e-06,3.24327962056872e-06,6.74994751915804e-07,1.00270806380332e-06,0,3.07549037156229e-06,0,1.90976106160889e-05,8.11651418442019e-07,0,5.00282659702732e-06,4.68467664577152e-06,4.20229810551209e-06,5.68845039785022e-07,0,7.3151658750438e-07,0,8.67830311403551e-07,0,0
"g_Acetanaerobacterium",2.28921307537463e-06,2.04562354185397e-06,6.61703887510339e-07,2.58581010844888e-06,6.7125412926173e-06,6.37352014829057e-06,4.25991689289407e-06,4.39450686641698e-06,1.05950515532903e-05,3.18578545009308e-06,9.91260513556822e-06,2.43245971542654e-06,7.42494227107384e-06,5.21408193177725e-05,2.8425535433722e-05,0,0,8.18469026403811e-05,6.08738563831514e-06,9.76019548277238e-06,7.14689513861046e-06,4.4392888214692e-05,4.9377002739767e-05,0.0001405047248269,1.51928812235739e-06,1.46303317500876e-06,0,1.7356606228071e-06,1.32448138275856e-06,1.84101881981489e-06
"g_Acetatifactor",1.29722074271229e-05,2.96615413568826e-05,9.26385442514475e-06,4.03386376918025e-05,4.32119845712238e-05,5.24044989970558e-05,5.03444723705663e-06,5.19350811485643e-06,7.80688009189813e-06,1.06192848336436e-05,1.18188753539467e-05,4.0540995257109e-06,6.74994751915804e-07,0.000169708339798711,3.48858843959315e-05,1.23019614862492e-06,0,3.81952212321778e-05,6.53379391845825e-05,5.0195291054258e-05,4.07373022900796e-05,9.21319740335066e-05,8.77229729525649e-05,0.000273614464136596,6.4569745200189e-05,8.63189573255168e-05,0.000149435675618137,0.000275102208714926,0.000268207480008609,7.17997339727805e-05
"g_Acetitomaculum",3.05228410049951e-06,1.63649883348318e-05,1.98511166253102e-06,2.84439111929376e-05,3.39822402938751e-05,3.61166141736466e-05,0,3.99500624219725e-07,0,1.06192848336436e-06,1.5250161747028e-06,0,0,2.33129624834271e-05,9.04448854709336e-06,3.69058844587475e-06,0,1.09129203520508e-05,0,3.13720569089112e-06,1.42937902772209e-06,1.38309500970397e-05,1.22129288691445e-05,1.53588160741956e-05,7.59644061178694e-07,7.3151658750438e-07,0,1.7356606228071e-06,6.62240691379282e-07,2.76152822972233e-06
"g_Acetivibrio",1.2209136401998e-05,6.7505576881181e-05,6.61703887510339e-05,6.82653868630503e-05,5.83152024796128e-05,8.28557619277774e-05,4.72463509939161e-05,0.000110262172284644,0.000108738686994295,9.92903131945676e-05,0.00016050795238747,5.79736232176658e-05,0.000417821751435883,0.000756543234139602,0.000182181840734309,2.33737268238734e-05,0,0.000150052654840699,0.000103891381560578,7.28528877106939e-05,6.07486086781889e-05,0.00013429406384545,0.000150494800903652,0.000476692143339849,4.40593555483643e-05,0.000243595023638959,7.1647241734723e-06,0.000108478788925444,2.18539428155163e-05,3.49793575764828e-05
"g_Acetoanaerobium",3.81535512562438e-06,2.96615413568826e-05,1.32340777502068e-06,1.81006707591421e-05,2.39134283549491e-05,1.38092936546296e-05,1.00688944741133e-05,2.916354556804e-05,2.89969831984788e-05,4.83177459930784e-05,5.2231803983571e-05,2.43245971542654e-05,1.14749107825687e-05,0.000439436808961804,0.000157632514677913,1.23019614862492e-06,0,5.45646017602541e-05,0.000102268078723694,7.5641514991486e-05,0.00013007349152271,0.000515314431034867,0.000491143591081725,0.000415825724082851,4.10207793036495e-05,1.46303317500876e-05,2.9682428718671e-05,1.21496243596497e-05,2.64896276551713e-05,6.71971869232433e-05
"g_Acetobacter",0.000358643381808692,0.000117623353656603,5.02894954507858e-05,0.00027564735756065,0.000237036614395548,0.000186248422111158,0.000157616925037081,0.000162596754057428,0.000171751362021759,0.000170970485821662,0.000178808146483904,0.000166623490506718,0.000340197354965565,5.26421733496741e-05,2.71334656412801e-05,0.00029278668337273,0.000635012267282436,0.000128226814136597,0.000113225372872662,7.5641514991486e-05,0.000179387067979123,4.41698083744172e-05,6.01453916351418e-05,1.82030412731207e-05,1.747181340711e-05,1.75563981001051e-05,1.63765123965081e-05,1.82244365394746e-05,2.1191702124137e-05,3.12973199368531e-05
"g_Acetobacterium",0.000312859120301199,0.00350926718605048,6.74937965260546e-05,0.00052853958616695,0.000469038822821633,0.00050917344295788,5.88643061563544e-05,9.7478152309613e-05,0.000200190710927959,0.00011203345499494,0.000197108340580337,8.18928104193601e-05,1.41748897902319e-05,0.000543467770581398,0.000158924584470355,2.76794133440606e-05,0,0.000182791415896851,0.000104297207269799,7.18071524803968e-05,0.000124355975411822,0.000158386686595132,0.000186214334800504,0.000416394569122636,0.000183074218744065,0.00014191421797585,0.00014534154751901,0.000432179495078968,0.000254300425489644,0.000144519977355469
