"","g_Clostridium","g_Aeromonas","g_Streptococcus","g_Cetobacterium","g_Methyloversatilis","g_Lactococcus","g_Mycobacterium","g_Fusobacterium","g_Plesiomonas","g_Romboutsia","g_Mycolicibacterium","g_Turicibacter","g_Paraclostridium","g_Thauera","g_Variovorax","g_Pseudomonas","g_Paeniclostridium","g_Acinetobacter","g_Escherichia","g_Bradyrhizobium","g_Clostridioides","g_Herbiconiux","g_Bacillus","g_Streptomyces","g_Mycoplasma","g_Halomonas","g_Microcystis","g_Niameybacter","g_Aestuariivirga","g_Burkholderia","Other"
"CiA",0.00138535859194831,0.253597442510733,0.043094047110497,0.000419915736562826,0.00667089869753454,0.00112427377675535,0.00154574667921396,0.000488950091275874,0.000940528201052956,5.19055298594346e-05,0.00108845896115234,9.2910898448388e-05,7.7858294789152e-05,0.00183693670172539,0.0045443291391935,0.0124012691940161,7.57820735947746e-05,0.0151055472996927,0.0128108038246071,0.00764308927180175,7.57820735947746e-05,0.000380467533869656,0.00791299802707081,0.00190649011173703,3.11433179156608e-05,0.00269389699970466,0.00026990875526906,1.03811059718869e-06,0.00936531475253779,0.00377924162906544,0.608587666104184
"CiB",0.00831870318576089,0.158649498925421,0.142084828568869,0.00110022793170165,0.00428606538738053,0.00280454760878437,0.0140947084166288,0.000878191675477933,0.000247302450897448,0.000201363915127024,0.0093385386798643,7.57985840211991e-05,0.000246536808634607,0.00101447599826352,0.00360540941571542,0.00525230592308511,0.000186051069870216,0.0581199041722144,0.0101991205832969,0.00416356262532607,0.000186816712133056,0.000895801447523262,0.00229386421946982,0.00133145189507945,3.06256905136158e-05,0.00379299177011132,0.000167675655562047,6.89078036556355e-06,0.00510224003956839,0.0015182686072125,0.55980623125612
"CiC",0.000478156795825301,0.020859517416905,0.0448622896779867,0.000300522419787887,0.00119626560124868,0.000480486426986447,0.00119510078566811,0.00021432606682547,5.88231868189469e-05,1.28129713863053e-05,0.000833425547900129,1.86370492891713e-05,2.15490882406043e-05,0.000366334500090273,0.221312048269958,0.033920012114082,2.15490882406043e-05,0.00125334156469677,0.0418914275397348,0.0874310574778248,5.41639244966541e-05,0.141606630130285,0.000322071508028491,0.000247523310871806,4.65926232229282e-06,0.000219567736938049,1.74722337085981e-05,1.16481558057321e-06,0.0015736658493544,0.0713973710112346,0.327828026627684
"CiD",0.00300330440690528,0.129861322185362,0.234124055854717,0.00455107689857112,0.00504966362665566,0.00349295151965334,0.00264653248574944,0.00256770133232776,0.0012287907626142,0.000184887499004452,0.00169608883702106,0.000126779999317338,0.00019829692200917,0.00153476941481278,0.0179580618263797,0.0188548677830892,0.000168633652938126,0.0120339412813557,0.0186805452840278,0.0087677309143276,0.000722483457648166,0.0101610918683634,0.0023596521026788,0.00218329787285917,1.46284614596929e-05,0.0022926049876552,6.8672499630225e-05,4.87615381989763e-06,0.00461080978286487,0.00803833957210125,0.502813540754081
"CiE",0.00310729210801452,0.179937025058906,0.229405578738489,0.00111135835058083,0.00735764340820625,0.00328987676297829,0.00289453069037727,0.000568176622458217,0.00052824575467816,0.000116134813925204,0.00195630770543822,0.000141739339829974,0.000184108733886676,0.00225289346383513,0.00536902522960249,0.00801452142397742,0.000117354077063527,0.00850710373185965,0.00688975117887505,0.00406898590836628,0.000260617495816403,0.00216815467572173,0.00160851289523177,0.0016990431832522,4.72464466099913e-05,0.00117963708632688,0.00024872968021776,3.96260519954765e-06,0.0124303876951964,0.00322251247458598,0.511313542660493
"CiF",0.00248999117006221,0.211766640044836,0.285632389089399,0.000894390923769913,0.00411949792158822,0.00456341670439596,0.0041801877166704,0.000887837565615498,0.00114911710594586,9.68757292391751e-05,0.00273730920823751,8.60484418536202e-05,0.000122804233241425,0.00113715010409867,0.00503468863428301,0.0132135645396081,9.57360147775377e-05,0.00893422166477521,0.0150314091059196,0.00316783634612102,0.000126508305241746,0.00200817688140502,0.00162523282229487,0.0016446079681427,1.5956002462923e-05,0.00283931365255406,0.000173806455399696,1.99450030786537e-06,0.00555667785771292,0.00326072307474447,0.417405890215295
"HmA",0.00189668453496226,0.000431434679626608,0.001310584592828,0.000391431032782523,4.1399122896785e-05,0.00015908427000787,0.114644404792251,0.000384686231861137,1.18615464479553e-05,0.000457483565943686,0.0719267896050059,9.1868840136124e-05,0.000149083358296849,0.000257000173039031,0.000399803889098727,0.00189552163825167,0.000167224546981957,0.000960552682942259,0.000588193156213311,0.00150176481204798,0.000174201927245461,0.00020955398724721,0.000713786000956366,0.0190087096312036,1.79086093429913e-05,0.000333983935279681,0.0214112542352698,1.44199192112397e-05,0.0155276946177419,0.000707971517403447,0.744213658547477
"HmB",0.00208564350143977,0.000427229016533165,0.00197458789153984,0.000516743667616304,3.82950378965302e-05,0.0002419767707087,0.0891508482231222,0.00039587495425538,1.05311354215458e-05,0.000188124373666704,0.0556256966405917,0.00020224566889105,6.36655005029814e-05,0.000276442304815577,0.000381993003017888,0.00200713867375189,7.68294197799136e-05,0.000924825165201203,0.000678540202729144,0.00186831916137697,9.81310346098585e-05,0.000228094819471208,0.0011627330881334,0.0228008655635941,5.21769891340223e-05,0.00036691433184613,0.00786436472002617,5.98359967133284e-06,0.0119899370214167,0.000636415661042961,0.797658832858196
"HmC",0.00240928859599027,0.000599617477488937,0.00705214409965256,0.000560276800999778,3.67179647232154e-05,0.000776978360660897,0.0789465747056498,0.000369146681056612,9.50733015154684e-06,0.000231454313344554,0.0491201129864229,0.000233421347169012,5.57326250263091e-05,0.000259976303799195,0.000429469051673323,0.00204997708405595,9.63846573984404e-05,0.000928439965144161,0.000673053406935368,0.00381375074665326,0.000129824232414226,0.000207849907451059,0.00130217639179117,0.020824331421595,5.17985573773931e-05,0.000396029476657537,0.0117225380768573,1.01630080930328e-05,0.015395318066091,0.000677970991496513,0.80062997536618
"HmD",0.0145735464909384,0.000570360475035824,0.00250381360921419,0.00344315369000925,3.41101146657422e-05,0.000432280107013925,0.0979012768006287,0.000792076220363148,1.8366984820015e-05,0.00287344917871699,0.0616100826875097,0.000319782324991333,0.000275832754172011,0.000206628579225169,0.000393906228014965,0.002002985290997,0.000411945230963194,0.00112596176584128,0.000882927198847865,0.00178848514684896,0.000569376529420466,0.000191541413123014,0.00134505365619431,0.0191420059830453,3.34541509221702e-05,0.000367011714528515,0.030127430796645,0.000101018416510083,0.0151678496426146,0.000683514220801988,0.740110772597377
"HmE",0.0160773040286582,0.000536055531220701,0.00238320876642488,0.00293992596694317,4.29303573183173e-05,0.000225212195343686,0.0689638310591723,0.000480039450013912,1.67589095413752e-05,0.00243922484763167,0.0431199855276485,0.000276407220381038,0.000242200678988368,0.000265617237525632,0.000372139621459853,0.0019006440012746,0.000371450899149933,0.000868708406911833,0.000728897777998169,0.00274180351578965,0.000473381801018023,0.000196745006533679,0.00132900448404139,0.0219420040717263,5.7623099929934e-05,0.000369155158116868,0.0206940392461521,0.00011249131062019,0.0140559040490444,0.000621457097650722,0.795155848675771
"HmF",0.00212486097497804,0.000382667960001422,0.0014334178063756,0.000664272981661393,3.83429740943694e-05,0.000187144184818214,0.0887284352511592,0.000441832946517899,1.70131077107467e-05,0.000232597114373791,0.0554792363907835,0.000180542083318521,9.70001066493319e-05,0.000232597114373791,0.00035829096984871,0.0018221800139152,5.96728404779921e-05,0.000769398751694963,0.000587840960453412,0.00162589445778972,0.000128233125282494,0.000201618022721386,0.00104541737977827,0.0231114180806167,4.36754406902751e-05,0.000317408725946767,0.0433278146536182,1.06649331918114e-05,0.0123827492166353,0.000561432554454641,0.763406328876068
"MsA",0.0125020821883296,0.000518588786268843,0.000739196839613789,0.000233716647819066,0.165744109365323,8.15290631926973e-05,0.00924475632241899,2.46185798660302e-05,0.000133323997456293,0.000224124993325807,0.0177336902707692,0.000404767819615509,3.35707907264048e-05,0.0445829692501149,0.000935825756725588,0.00603474928534181,3.77271743401501e-05,0.00337306516346257,0.00320904787162785,0.00192792255314496,6.74613032692515e-05,2.17410835180526e-05,0.000478623559213599,0.00110719665033847,4.15638361374535e-06,0.0203605247146563,0.000619301158448057,0.000132045110190525,0.00155640580243941,0.00358536044958003,0.704347801065249
"MsB",0.29402407485046,0.00148807213138512,0.00260757683196776,0.000847554127006309,0.000982127606714181,0.244476448778401,0.000850789066422364,0.000830301116787351,0.00308117196247815,0.0276399693586539,0.000612481862773007,0.00452352361678304,0.00848093283575652,0.000290066234306231,0.000257069852262473,0.000424639714014103,0.00358797913766004,0.0139216696083049,0.00139878780350202,0.000195174678101962,0.00481466816422795,1.48807213138512e-05,0.00384763694145536,0.000959051705546325,0.00127952637036347,0.00193255280715103,8.73433642334746e-05,0.028855012603324,0.000468203564816971,0.000195821665985173,0.347024890917843
"MsC",0.119937230137544,9.27425771686745e-05,0.00261154666163608,0.00452436231574,0.00889696405065852,0.192249039113128,0.000176000118036007,0.000786204120088991,0.00379506841345906,0.00657629183559692,0.000150706687899096,0.00160718670661623,0.0027211515255627,0.00227535481939964,0.000197077976483433,0.000562778820546275,0.00119089900227957,0.00218682781392045,0.000532215925797507,0.000179161796803121,0.00130155775912856,1.0538929223713e-06,0.00177791736004039,0.000583856678993701,0.119223744629098,0.00309739129884925,0.000318275662556133,0.00937964700910458,0.000174946225113636,0.000266634909359939,0.512626164156469
"MsD",0.00162762609359565,0.000277136334855475,0.0028172778008572,1.18222841257792e-05,0.0556106498434647,0.0454531082846993,0.0192683985671392,3.54668523773376e-05,0.00971571805666943,0.000210051745862682,0.013791931648502,3.43671050168e-05,0.000141592472669216,0.0149013017984444,0.00291653000014572,0.0035301890273257,0.000247993029801229,0.00599114868336871,0.00675382347790154,0.00353651257464879,0.00014434184107056,2.69438103331712e-05,0.000594413448370573,0.00136753584282851,3.40921681766656e-05,0.00711344086479733,0.000348619913290419,0.000226273019430611,0.00659518492114399,0.0026190483391203,0.794057460149967
"MsE",0.00944737309719837,0.00447195403660487,0.00119943138067879,0.000296155896463899,0.177545459930107,0.0376266066457383,0.000755197535982941,0.000133270153408754,0.00099212225315406,0.000207309127524729,0.000592311792927797,2.96155896463899e-05,1.48077948231949e-05,0.0540780666943079,0.000932891073861281,0.00737428182195107,4.44233844695848e-05,0.00534561393117337,0.00192501332701534,0.053100752235977,7.40389741159746e-05,0,0.000518272818811823,0.000459041639519043,0,0.0258840253509447,4.44233844695848e-05,0.000281348101640704,0.00108096902209323,0.00370194870579873,0.611843274299591
