"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Acidianus",0,0,0,0,0.000100725221595488,4.23370025402202e-05,0,8.88309842473055e-05,0.000166847418036206,0.000202265372168285,0.000169106633811664,0.000125454773554134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Acidilobus",0,0,0,0,0,4.23370025402202e-05,0,0,8.34237090181029e-05,0,4.83161810890467e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000358294518093873,0,0,0,0
"g_Acidiplasma",0,0,0,0,0,0,0.000249687890137328,0,0,0.000101132686084142,0,0,0,0.000228519195612431,0,0,0,0,0,0,0,0.000243131534159981,0,0,0,0,0,0,0,0
"g_Aciduliprofundum",0,0,0,0,0,0,0.000416146483562214,0.000118441312329741,0.000166847418036206,0.000202265372168285,0.000169106633811664,0.000188182160331201,0.000274951883420401,0,0.00087719298245614,9.84348853233586e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Aeropyrum",0,0,0,0,0,0,0.000166458593424886,0.000118441312329741,8.34237090181029e-05,5.05663430420712e-05,4.83161810890467e-05,6.27273867770669e-05,0,0.000228519195612431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Archaeoglobus",0.000420138645753099,0,0,0.000569013168590473,0.000705076551168413,0.000296359017781541,0.00332917186849771,0.00124363377946228,0.00125135563527154,0.00141585760517799,0.000942165531236411,0.00219545853719734,0,0.00137111517367459,0.00087719298245614,0.000492174426616793,0,0,0,0,0,0.000162087689439987,0.000182706801260677,0.0060882800608828,0,0,0,0.000390015600624025,0,0
"g_Caldisphaera",0,0,0,8.12875955129247e-05,0,0,8.32292967124428e-05,2.96103280824352e-05,0,0,2.41580905445234e-05,0.000125454773554134,0,0.00182815356489945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Caldivirga",0,0,0,0,0,8.46740050804403e-05,0,5.92206561648703e-05,0,0,7.24742716335701e-05,6.27273867770669e-05,0,0,0,9.84348853233586e-05,0,0,0.000130958617077004,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Altiarchaeum",0,0,0,0,0.000201450443190975,0,0.000416146483562214,5.92206561648703e-05,0.000125135563527154,5.05663430420712e-05,7.24742716335701e-05,0.000125454773554134,0,0.000228519195612431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Anstonella",0,0,0,0,0.000352538275584206,0,0.000332917186849771,0,8.34237090181029e-05,0.000101132686084142,0.000193264724356187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130890052356021,0
"g_Candidatus Aramenus",0,0,0,0,0,0,0,0,4.17118545090515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274060201891015,0,0,0,0,0,0,0
"g_Candidatus Argoarchaeum",0.000910300399131713,0.000159923236846314,0.00227272727272727,0.000894163550642172,0.00130942788074134,0.0010584250635055,0.000832292967124428,0.0010955821390501,0.000709101526653875,0.00040453074433657,0.000797216987969271,0.000501819094216535,0,0.00845521023765996,0,9.84348853233586e-05,0,0,0.000392875851231011,0,0.00726643598615917,0,0,0,0.0553064275037369,0.0709423145825869,0.0581395348837209,0.0331513260530421,0.0379581151832461,0.068870523415978
"g_Candidatus Bilamarchaeum",0,0,0,0,0,0,8.32292967124428e-05,8.88309842473055e-05,8.34237090181029e-05,0.000151699029126214,0,0.000125454773554134,0,0,0,0,0,0,0,0,0,0.000243131534159981,0.000137030100945508,0,0,0,0,0,0,0
"g_Candidatus Burarchaeum",7.00231076255164e-05,0,0,0,0,0,0.000166458593424886,5.92206561648703e-05,0.000125135563527154,0.000151699029126214,2.41580905445234e-05,0,0.000274951883420401,0.00182815356489945,0,0,0,0,0,0,0,0,0,0,0,0.000358294518093873,0,0,0,0
"g_Candidatus Caldarchaeum",0,0.000479769710538941,0.000454545454545455,0,5.03626107977438e-05,8.46740050804403e-05,0.000166458593424886,5.92206561648703e-05,0.000125135563527154,5.05663430420712e-05,0.00014494854326714,6.27273867770669e-05,0,0,0,0.000196869770646717,0,0.00490998363338789,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Fermentimicrarchaeum",0,0,0,0,0.000201450443190975,0,0,0,4.17118545090515e-05,5.05663430420712e-05,4.83161810890467e-05,0.000125454773554134,0,0,0,9.84348853233586e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Gugararchaeum",0,0,0,0,0,0,8.32292967124428e-05,5.92206561648703e-05,0,0,4.83161810890467e-05,0.000376364320662401,0,0.000228519195612431,0.00175438596491228,0.000196869770646717,0,0.000818330605564648,0,0,0,0,0,0,0,0,0,0,0.00261780104712042,0
"g_Candidatus Hadarchaeum",0.000140046215251033,0,0,8.12875955129247e-05,5.03626107977438e-05,4.23370025402202e-05,8.32292967124428e-05,2.96103280824352e-05,0.000125135563527154,5.05663430420712e-05,2.41580905445234e-05,0,0,0,0,0.0016733930504971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Halobonum",0,0,0,8.12875955129247e-05,0,0,8.32292967124428e-05,0,0,0,4.83161810890467e-05,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Huberarchaeum",0.000210069322876549,0,0,0.000406437977564624,0,8.46740050804403e-05,0,0,0,0.000202265372168285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015220700152207,0,0,0,0,0,0
"g_Candidatus Korarchaeum",0,0,0,0,5.03626107977438e-05,0,0,2.96103280824352e-05,0,0,4.83161810890467e-05,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Lokiarchaeum",0.000140046215251033,0,0,0.000162575191025849,5.03626107977438e-05,8.46740050804403e-05,0.000249687890137328,0.000207272296577046,8.34237090181029e-05,0.000353964401294498,0.000241580905445234,0.000376364320662401,0,0.0285648994515539,0.0087719298245614,0,0,0.00245499181669394,0,0,0,0.000405219223599968,0.000228383501575846,0.0228310502283105,0,0.000716589036187746,0,0,0,0
"g_Candidatus Mancarchaeum",0,0,0,0,0,0,0,0,0,0,2.41580905445234e-05,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Methanarcanum",0.000140046215251033,0,0,0,0,0,0.000166458593424886,0,4.17118545090515e-05,0,0.000120790452722617,0.000125454773554134,0,0.00708409506398537,0.289473684210526,0,0,0.0556464811783961,0,0,0.000346020761245675,0.000243131534159981,4.56767003151692e-05,0.0015220700152207,0,0,0,0,0,0
"g_Candidatus Methanodesulfokores",0.000280092430502066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Candidatus Methanofastidiosum",0.00224073944401653,0.000639692947385255,0.00227272727272727,0.00317021622500406,0.00438154713940371,0.00228619813717189,0.00865584685809405,0.00346440838564491,0.00279469425210645,0.00359021035598705,0.00318886795187708,0.00614728390415255,0.00412427825130602,0.0043418647166362,0.00263157894736842,0.00728418151392854,0,0,0.000261917234154007,0,0,0.0012156576707999,0.000959210706618554,0.0030441400304414,0.00971599402092676,0.0128986026513794,0.00697674418604651,0.00702028081123245,0.00916230366492147,0.0110192837465565
