"","g_Methanothrix","g_Methanobacterium","g_Methanosarcina","g_Halorubrum","g_Nitrososphaera","g_Methanocella","g_Nitrosopumilus","g_Methanobrevibacter","g_Candidatus Nitrosocosmicus","g_Candidatus Nitrosopelagicus","g_Saliphagus","g_Candidatus Methanogranum","g_Candidatus Methanoperedens","g_Methanomethylovorans","g_Candidatus Methanarcanum","g_Candidatus Argoarchaeum","g_Candidatus Nitrosopolaris","g_Methanosphaera","g_Haloprofundus","g_Methanoregula","Other"
"CiA",0.756179539247952,0.127932217631819,0.0165954765072474,0.000910300399131713,0.00182060079826343,0.0189062390588894,0.00210069322876549,0.00525173307191373,0.00133043904488481,0.000910300399131713,7.00231076255164e-05,0.000770254183880681,0.00588194104054338,0.00154050836776136,0.000140046215251033,0.000910300399131713,0.000630207968629648,0.000700231076255164,0,0.0115538127582102,0.0458651354947133
"CiB",0.663201663201663,0.107788261634415,0.0363025747641132,0,0.000639692947385255,0.0263873340796418,0.008156085079162,0.00479769710538941,0.00943547097393251,0.000319846473692628,0,0,0.0196705581320966,0.000639692947385255,0,0.000159923236846314,0.000639692947385255,0.00287861826323365,0,0.0447785063169679,0.0742043818966897
"CiC",0.467727272727273,0.289545454545455,0.0704545454545455,0.000454545454545455,0.0109090909090909,0.0454545454545455,0,0.0159090909090909,0.01,0.000909090909090909,0.000454545454545455,0.000454545454545455,0.00863636363636364,0.00136363636363636,0,0.00227272727272727,0.00454545454545455,0.00318181818181818,0,0.0140909090909091,0.0536363636363636
"CiD",0.453828645748659,0.130304015607218,0.160055275564949,0.00227605267436189,0.0155259307429686,0.134774833360429,0.00235734026987482,0.00666558283205983,0.00593399447244351,8.12875955129247e-05,0,8.12875955129247e-05,0.0235734026987482,0.00195090229231019,0,0.000894163550642172,0.00520240611282718,0.00170703950577142,0.000162575191025849,0.00942936107949927,0.0451959031051862
"CiE",0.63325946817083,0.133360193392425,0.0781124093473006,0.000604351329572925,0.00473408541498791,0.0264403706688155,0.00271958098307816,0.00508662369057212,0.00503626107977438,0.000453263497179694,0,0.000151087832393231,0.00352538275584206,0.00146051571313457,0,0.00130942788074134,0.00261885576148268,0.00135979049153908,5.03626107977438e-05,0.0238718775181305,0.075846091861402
"CiF",0.558975444538527,0.220194750211685,0.0610076206604572,0.00156646909398815,0.00647756138865368,0.0404318374259102,0.0010584250635055,0.00622353937341236,0.00224386113463167,0.000465707027942422,0.000550381033022862,0,0.00423370025402202,0.00135478408128704,0,0.0010584250635055,0.00194750211685013,0.00131244707874682,0.000169348010160881,0.0121930567315834,0.0785351397121083
"HmA",0.0924677486475239,0.483645443196005,0.0808988764044944,0.0023304203079484,0.0388680815647108,0.0441947565543071,0.00391177694548481,0.00782355389096962,0.0401165210153974,0.00199750312109863,0.000332917186849771,0.000166458593424886,0.0236371202663337,0.00133166874739908,0.000166458593424886,0.000832292967124428,0.011652101539742,0.00374531835205993,0.000166458593424886,0.0111527257594673,0.150561797752809
"HmB",0.115095345256425,0.576661139405425,0.0798590548383276,0.0010067511548028,0.0288404595522918,0.0382269335544238,0.00177661968494611,0.0124067274665403,0.0285147459433851,0.000592206561648703,2.96103280824352e-05,0.000118441312329741,0.0123771171384579,0.00136207509179202,0,0.0010955821390501,0.0119625725453038,0.00251687788700699,0.000148051640412176,0.00737297169252635,0.0800367168068222
"HmC",0.146950863435388,0.373571368983065,0.136397764244598,0.000959372653708184,0.0516392758822057,0.0449236673062484,0.00246099941603404,0.00867606573788271,0.0774172019687995,0.0013764911987987,8.34237090181029e-05,0,0.0185617752565279,0.000917660799199132,4.17118545090515e-05,0.000709101526653875,0.0239843163427046,0.00200216901643447,0.000375406690581463,0.0180195211479102,0.0909318428297322
"HmD",0.141282362459547,0.523108818770227,0.0810072815533981,0.00141585760517799,0.0352953074433657,0.0342334142394822,0.00268001618122977,0.0118830906148867,0.0306937702265372,0.0010618932038835,0.000101132686084142,0.000353964401294498,0.0176476537216828,0.00171925566343042,0,0.00040453074433657,0.0134000809061489,0.0070287216828479,0.000252831715210356,0.00945590614886731,0.0869741100323624
