"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Aaosphaeria",0,0,0,0,0,0,2.45098039215686e-05,3.74248695743295e-05,1.96937620008862e-05,1.42495814185458e-05,5.42985442560285e-06,1.64865510959435e-05,0,0,0,0,0,0,2.41505059530997e-05,0,0.000797075557265756,0,0,0,0,0,0,0,0,0
"g_Abortiporus",5.49148819330038e-05,0,0,0,6.88681519231431e-05,0.000124664962912174,6.5359477124183e-05,0.000119759582637855,0.000108315691004874,9.97470699298208e-05,0.000162895632768085,9.89193065756609e-05,0,7.52898659840386e-05,0,0,0,0,0,0,0,4.22985005181566e-05,0,0,0,0,0,0,0,0
"g_Absconditella",0,0,0,0,0,0,0,0,0,0,0,8.24327554797174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Absidia",0.000384404173531027,0,0,7.57288905717531e-05,0,0,0.000669934640522876,0.000860772000209579,0.000679434789030575,0.000869224466531296,0.000982803651034116,0.000964463239112694,5.27906454976178e-05,7.52898659840386e-05,0,9.80094285070224e-06,0,0,0,0,0,0.000190343252331705,0,0,0,0.000163907556138338,0,0,0,0
"g_Acanthamoeba",0.00472267984623833,0.000716589036187746,0.000582750582750583,0.000302915562287012,0.000757549671154575,0.00168297699931434,0.00534313725490196,0.00727539464524966,0.00645955393629068,0.00728153610487692,0.00766152459452562,0.00654516078508956,0.000329941534360111,0.00519500075289866,0,0.000401838656878792,0,0.00021383513311237,6.03762648827493e-05,0,0,0.00241101452953493,0,0.00307587149692413,0.000511247443762781,0.00524504179642681,0,0.00594227504244482,0.00201545179711119,0.00305064063453325
"g_Acanthoceras",0,0,0,0,0,0,0,0,1.96937620008862e-05,7.12479070927291e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Acanthoeca",0,0,0,0,0,0,8.16993464052288e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Acaromyces",0.000329489291598023,0,0,0,0.000206604455769429,0.000124664962912174,0.000187908496732026,0.000299398956594636,0.000216631382009748,0.000256492465533825,0.000380089809792199,0.000288514644179011,3.95929841232134e-05,7.52898659840386e-05,0,0,0,0.000320752699668556,0,0,0,8.45970010363133e-05,0,0,0,0.000163907556138338,0,0,0,0
"g_Acarosporina",0,0,0,0,0,0,0,0,0,0,0,8.24327554797174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Acaulospora",0.000219659527732015,0,0.000582750582750583,0,0.000241038531731001,6.23324814560868e-05,0.00170751633986928,0.00214818751356652,0.00193983555708729,0.00208043888710769,0.00206877453615469,0.00175581769171798,0.00047511580947856,7.52898659840386e-05,0,5.88056571042134e-05,0,0.000534587832780926,0,0,0,0.000867119260622211,9.13464466232264e-05,0.000683526999316473,0.00127811860940695,0.000327815112276676,0,0,0.000335908632851864,0
"g_Acavomonas",0,0,0,0,0,0,4.90196078431373e-05,2.24549217445977e-05,0,0,0,3.2973102191887e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
