"","g_Aspergillus","g_Scenedesmus","g_Exophiala","g_Nannochloropsis","g_Microchloropsis","g_Raphidocelis","g_Rhizophagus","g_Monoraphidium","g_Botryosphaeria","g_Chlorella","g_Penicillium","g_Fusarium","g_Lingulodinium","g_Chlamydomonas","g_Thalassiosira","g_Salpingoeca","g_Moesziomyces","g_Cyclotella","g_Monosiga","g_Tribonema","Other"
"CiA",0.0593629873695772,0.116913783635365,0.0168588687534322,0.0197693574958814,0.0331136738056013,0.0169686985172982,0.000988467874794069,0.0155409115870401,0.00153761669412411,0.0056562328390994,0.00483250961010434,0.130971993410214,0.26562328390994,0.014717188358045,0.00252608456891818,0.00186710598572213,0,0,0.00153761669412411,0.00977484898407468,0.281438769906645
"CiB",0.252669294159799,0.211537083482623,0.000214976710856324,0.0477964887137227,0.0328914367610176,0.0277319957004658,0.000429953421712648,0.0364743819419563,7.16589036187746e-05,0.00745252597635256,0.00222142601218201,0.0430670010748836,0.000429953421712648,0.010820494446435,0.00501612325331422,0.000286635614475099,0,0.000143317807237549,0.000716589036187746,0.00953063418129703,0.31049802938015
"CiC",0.0675990675990676,0.24009324009324,0.00116550116550117,0.0466200466200466,0.0483682983682984,0.0716783216783217,0.00116550116550117,0.0606060606060606,0.00641025641025641,0.0116550116550117,0.00116550116550117,0.00291375291375291,0.0134032634032634,0.0157342657342657,0.00291375291375291,0.00233100233100233,0,0.000582750582750583,0.00699300699300699,0.0128205128205128,0.385780885780886
"CiD",0.113971980310488,0.190685346459674,0.00537675123059447,0.0402877697841727,0.0349867474441499,0.0551306323362363,0.00295342673229837,0.0444528587656191,0.00499810677773571,0.00908746686861038,0.0152972358954941,0.0304430140098448,0.0165846270352139,0.0149943203332071,0.00340780007572889,0.000227186671715259,0.0512684589170769,0.000908746686861037,0.000605831124574025,0.0109806891329042,0.3533510034078
"CiE",0.0410109844702317,0.173444440618436,0.0032712372163493,0.0410109844702317,0.0350538893288799,0.0392892806721532,0.00117075858269343,0.0326435040115699,0.00585379291346717,0.0101580524086636,0.0131882510932819,0.0588822698942874,0.000550945215385145,0.0157363727144382,0.00340897352019559,0.000998588202885576,0.19369167728384,0,0.000964154126924004,0.00860851899039289,0.321063324265693
"CiF",0.225768247833946,0.246462631677367,0.00853954995948389,0.0458143738702238,0.043819734463629,0.0516736271270959,0.00274262918406782,0.0436950695007168,0.00261796422115564,0.0113445116250078,0.00230630181387521,0.00324128903571651,0.000311662407280434,0.015832450289846,0.00324128903571651,0.000747989777473041,0.000623324814560868,0,0.00118431714766565,0.0120301689210247,0.278002867294147
"HmA",0.00492647058823529,0.184191176470588,0.000326797385620915,0.0147957516339869,0.00662581699346405,0.0394362745098039,0.00214052287581699,0.0327614379084967,0,0.0148611111111111,0.000906862745098039,0.0023202614379085,0.000359477124183007,0.0123447712418301,0.0307271241830065,0.0252205882352941,5.71895424836601e-05,0.0392320261437909,0.0222875816993464,0.00294934640522876,0.563529411764706
"HmB",0.00511972215776828,0.112394368305626,0.000523948174040614,0.0125148763856558,0.00509726723602368,0.0257782501627982,0.00310626417466935,0.0203965539180096,2.99398956594636e-05,0.0128067903683356,0.000875741948039311,0.00273950045284092,0.000426643513147357,0.0116316494637016,0.0263021983368388,0.0356584157304212,2.24549217445977e-05,0.0281210469981512,0.0327018510340491,0.00306883930509502,0.660683677517384
"HmC",0.004933287381222,0.105755501944759,0.000324947073014623,0.0159027128157156,0.00656786962729555,0.0233568017330511,0.00248141401211166,0.0180985672788144,2.95406430013293e-05,0.0135296144946088,0.00110285067204963,0.0045000246172025,0.00044310964501994,0.00968933090443602,0.0451381025060312,0.0313918566294126,0.000108315691004874,0.0525921914233667,0.030377627886367,0.00283590172812762,0.630840431293388
"HmD",0.00394000926222792,0.0758505218909195,0.000641231163834562,0.00783726978020021,0.00362651847101991,0.0157244130953653,0.00271454526023298,0.0134872288126536,1.42495814185458e-05,0.0108795554130597,0.000933347582914752,0.00300666167931317,0.000548608884614014,0.00911973210786933,0.039107976203199,0.037227031455951,4.98735349649104e-05,0.0435538456057853,0.0345694845213922,0.00328452851697481,0.693883367176089
