"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Alphabaculovirus",0.00082135523613963,0,0.018348623853211,0.000558971492453885,0.0365365365365365,0,0.0313588850174216,0.0235626767200754,0.0472154963680387,0.0412060301507538,0.0311640696608616,0.0205627705627706,0.00282485875706215,0,0,0.0103092783505155,0,0,0,0,0,0.00381970970206264,0,0,0.00145137880986938,0,0,0,0.0112359550561798,0
"g_Alphaentomopoxvirus",0,0,0,0,0,0,0,0,0,0,0.000916590284142988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Alphapapillomavirus",0,9.46342386675499e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763941940412529,0,0,0,0,0,0,0,0
"g_Alpharetrovirus",0.00082135523613963,0,0.00458715596330275,0,0,0,0.0987224157955865,0.104618284637135,0.0750605326876513,0.124623115577889,0.140238313473877,0.112554112554113,0.0508474576271186,0,0,0,0,0,0,0,0,0.0229182582123759,0,0,0,0,0.00819672131147541,0,0.050561797752809,0.0029940119760479
"g_Amalgavirus",0,0,0,0,0,0,0.00116144018583043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Ambidensovirus",0,0.0028390271600265,0,0.034097261039687,0.002002002002002,0.00362976406533575,0,0,0,0,0,0.00108225108225108,0,0,0,0.0876288659793814,0,0,0,0,0,0,0,0,0.0986937590711176,0.104575163398693,0.122950819672131,0.0429906542056075,0.123595505617978,0.155688622754491
"g_Arenavirus",0,0,0,0,0,0,0.00232288037166086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Ascovirus",0,0,0,0,0,0,0,0.00188501413760603,0,0.00100502512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186915887850467,0,0
"g_Asfivirus",0,0,0,0,0,0,0,0.000942507068803016,0,0,0,0,0,0,0,0.0154639175257732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Aviadenovirus",0,0,0,0,0,0,0,0,0.00121065375302663,0.00301507537688442,0.000916590284142988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Avipoxvirus",0.000410677618069815,0,0,0,0,0,0.00580720092915215,0.0103675777568332,0.00242130750605327,0.0170854271356784,0.0164986251145738,0.00432900432900433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Bacilladnavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0
"g_Betabaculovirus",0,0,0,0,0,0,0.00116144018583043,0.00188501413760603,0,0.00402010050251256,0.00458295142071494,0,0,0.00298953662182362,0,0,0,0,0,0,0,0.000381970970206264,0,0.0170940170940171,0,0,0,0,0,0
"g_Betacoronavirus",0.00903490759753593,9.46342386675499e-05,0.155963302752294,0.00223588596981554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Betaentomopoxvirus",0.0053388090349076,0.0015141478186808,0,0.000558971492453885,0.0035035035035035,0.00302480338777979,0.00348432055749129,0.00471253534401508,0.00484261501210654,0.0110552763819095,0.00549954170485793,0.00108225108225108,0,0,0,0,0,0,0,0,0,0,0,0.0598290598290598,0,0,0,0,0,0
"g_Betanudivirus",0,0,0,0,0,0,0.00116144018583043,0,0,0,0,0.00216450216450216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
