"KEGG_KO","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF","description"
"K00001",8.4e-05,0.000106,0.000394,0.000235,0.000251,0.000419,0.000128,7.9e-05,0.000119,7.2e-05,7.2e-05,6.8e-05,0.000205,1.3e-05,9e-06,4.3e-05,0,3e-06,0,2e-06,0,3.4e-05,2.8e-05,1.6e-05,1.7e-05,0,0,1.2e-05,1e-05,0,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
"K00002",1e-06,2e-06,1e-05,5e-06,1e-06,0,2.6e-05,2.9e-05,2.6e-05,3.1e-05,4.7e-05,3.6e-05,1e-05,0,0,1e-06,0.000133,0,0,0,0,0.00013,0,1e-06,0,0,0,0,0,0,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"K00003",0.000239,0.000509,0.000373,0.000264,0.000417,0.000276,0.000592,0.000565,0.000544,0.00045,0.000554,0.00055,0.000412,0.000635,9e-05,0.000589,0.000133,0.000515,0.000324,2.8e-05,0.000437,0.000335,0.000394,0.000515,0.000142,6.6e-05,8.4e-05,9.1e-05,0.000291,0.000114,"E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]"
"K00004",1.1e-05,0,2.1e-05,3.9e-05,7.6e-05,2.4e-05,2.4e-05,2.6e-05,2.8e-05,2.4e-05,1.8e-05,2.8e-05,4e-06,1e-05,0,4e-06,0,0,7.3e-05,0,2e-05,7e-06,2.8e-05,0,0,0,0,0,0,0,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
"K00005",7.5e-05,3.4e-05,0.000104,0.000151,0.000182,0.000174,0.000258,0.000323,0.000284,0.00023,0.000282,0.000335,9.6e-05,0.000375,0.000136,0.00019,0,9.9e-05,1.1e-05,0.000375,3e-06,0.00033,0.000346,0.000301,0.000108,0.000299,0.000153,3.6e-05,8.1e-05,0.00018,"gldA; glycerol dehydrogenase [EC:1.1.1.6]"
"K00006",0,7.4e-05,0,1.6e-05,9e-06,0,2.6e-05,3.8e-05,2.8e-05,3.5e-05,3.4e-05,2.2e-05,0,0,0,0.000153,0,0,0,0,0,1e-05,6e-06,0,0,0,0,1.8e-05,0,0,"GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]"
"K00008",5.8e-05,0.000103,0.000238,0.000213,0.000302,0.000288,0.000115,9.7e-05,0.00015,9.5e-05,9.5e-05,9.4e-05,9.2e-05,1.8e-05,2e-06,6.5e-05,0.000796,0.000225,6.9e-05,2.4e-05,2.3e-05,6.7e-05,8.3e-05,6.5e-05,0,3.9e-05,3.1e-05,4.9e-05,0,4.1e-05,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
"K00009",2.4e-05,0.000137,8.3e-05,0.00015,0.000342,0.000399,8e-06,4e-06,8e-06,1e-05,4e-06,1e-06,2.2e-05,1.2e-05,0,6e-05,0,8e-05,0.000203,0.000381,0.001677,0.00027,0.000316,2.6e-05,2.5e-05,1.7e-05,3.1e-05,0,2.4e-05,2.4e-05,"mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]"
"K00010",0.000132,0.000173,6.2e-05,7.3e-05,0.000112,0.00011,0.000234,0.00014,0.00015,0.000167,0.000107,0.000155,0.000499,4e-06,4e-06,6.7e-05,0,8e-05,1.7e-05,0.000114,6.3e-05,2.6e-05,4.1e-05,0,0,6e-06,0,0,1e-05,0,"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"
"K00011",7e-06,0,2.1e-05,0,0,0,4e-05,6.3e-05,4.1e-05,7.5e-05,6e-05,5.5e-05,6e-06,0,0,0,0,0,0,2e-06,0,0.001163,0,3e-06,0,0,0,0,0,0,"AKR1B; aldehyde reductase [EC:1.1.1.21]"
"K00012",0.000632,0.000553,0.000746,0.000314,0.000542,0.000372,0.000858,0.000813,0.000785,0.000707,0.000727,0.000767,0.001784,6e-04,0.000152,0.001251,0.000398,0.000259,0.000188,0.000347,6.3e-05,0.000388,0.000468,0.000174,9.2e-05,0.000177,0.000146,9.7e-05,0.000181,0.000106,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"K00013",0.000314,0.000378,0.000363,0.000498,0.000399,0.000413,0.000726,0.000657,0.000655,0.000557,0.000557,0.000664,0.000486,0.000743,0.000134,0.000917,0,0.000749,9e-06,4.9e-05,1e-05,9.4e-05,0.000174,0.000295,1.7e-05,6.1e-05,0.000169,6.1e-05,2.4e-05,0.000163,"hisD; histidinol dehydrogenase [EC:1.1.1.23]"
"K00014",0.000249,0.000165,0.000435,0.000195,0.000335,0.000247,0.000445,0.00039,0.000401,0.000343,0.000348,0.000419,0.000692,0.000421,0.000167,0.000498,0,0.000521,7.8e-05,0.000215,2e-05,0.000193,0.000263,0.000438,1e-04,0.000316,3.1e-05,8.5e-05,9.1e-05,0.000229,"aroE; shikimate dehydrogenase [EC:1.1.1.25]"
"K00015",9.8e-05,0,3.1e-05,1.1e-05,2e-05,2.7e-05,4.8e-05,2.6e-05,3.9e-05,3.7e-05,2.3e-05,2.7e-05,0,0,1.3e-05,8e-06,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]"
"K00016",0.000115,0.000238,0.000207,0.000111,0.000154,0.000127,0.000143,0.000124,0.000123,0.000136,0.000161,0.000128,0.000157,0.000309,0.003073,0.000152,0.000133,0.001214,4.1e-05,0.000347,0,0.000558,0.000175,4e-04,5e-05,0.000149,5.4e-05,5.5e-05,0.000215,8.2e-05,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
"K00018",1.8e-05,1.3e-05,1e-05,3.1e-05,3.6e-05,1.7e-05,6.8e-05,6.6e-05,4.2e-05,4.5e-05,5.3e-05,5.2e-05,8.9e-05,0.000119,6.4e-05,0.00016,0,0.000376,0,0,0,2.2e-05,2.8e-05,0.00013,0,1.7e-05,8e-06,6e-06,0,2.4e-05,"hprA; glycerate dehydrogenase [EC:1.1.1.29]"
"K00019",1.3e-05,1.3e-05,0,3.9e-05,4.8e-05,4.1e-05,5.7e-05,5.7e-05,6.6e-05,6.3e-05,5.6e-05,5e-05,0.000155,2.7e-05,0,3.7e-05,0,4.3e-05,4e-06,1.6e-05,0,1.9e-05,5e-05,0,5.8e-05,1.1e-05,0,1.8e-05,0,0,"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"
"K00020",0.000173,0.00054,8.3e-05,8.3e-05,0.000184,0.000207,0.000224,0.000146,0.000148,0.000204,0.000152,0.000155,0.000209,1.1e-05,4e-06,0.000331,0,0.000539,2.8e-05,0.000193,0,4.6e-05,8e-05,1.8e-05,1.7e-05,1.1e-05,2.3e-05,1.2e-05,4.3e-05,8e-06,"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
"K00021",2.6e-05,4e-06,0,1e-05,2.6e-05,8e-06,0.000162,0.000165,0.000171,0.000171,0.000153,0.000135,0,0,0,1.9e-05,0,0,2e-06,0,0,6.5e-05,0,3e-06,0,6e-06,0,0,0,0,"HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"
"K00022",0,0,0,0,0,0,2.4e-05,2.7e-05,3.3e-05,3.1e-05,4.4e-05,3.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]"
"K00023",2.8e-05,4e-06,1e-05,2.1e-05,3e-05,1.7e-05,3.1e-05,2.8e-05,2.5e-05,2.6e-05,3.4e-05,4.4e-05,4e-06,3e-06,2e-05,2.3e-05,0,0,2e-06,0,0,1.4e-05,2.5e-05,0,0,6e-06,0,1.8e-05,5e-06,2.4e-05,"phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]"
